Date,Price,Open,High,Low,Volume,Chg%
7/27/2023,19699,19850.4,19867.15,19604.25,334.68K,-0.004
7/26/2023,19778.3,19733.35,19825.6,19716.7,244.75B,0.005
7/25/2023,19680.6,19729.35,19729.35,19615.95,369.65B,0.0004
7/24/2023,19672.35,19748.45,19782.75,19658.3,265.56B,-0.0037
7/21/2023,19745,19800.45,19887.4,19700,312.46B,-0.0117
7/20/2023,19979.15,19831.7,19991.85,19758.4,274.70B,0.0074
7/19/2023,19833.15,19802.95,19851.7,19727.45,259.66B,0.0042
7/18/2023,19749.25,19787.5,19819.45,19690.2,286.35B,0.0019
7/17/2023,19711.45,19612.15,19731.85,19562.95,268.71B,0.0075
7/14/2023,19564.5,19493.45,19595.35,19433.5,291.17B,0.0078
7/13/2023,19413.75,19495.2,19567,19385.8,310.44B,0.0015
7/12/2023,19384.3,19497.45,19507.7,19361.75,327.94B,-0.0028
7/11/2023,19439.4,19427.1,19515.1,19406.45,251.26B,0.0043
7/10/2023,19355.9,19400.35,19435.85,19327.1,268.25B,0.0012
7/7/2023,19331.8,19422.8,19523.6,19303.6,237.10B,-0.0085
7/6/2023,19497.3,19385.7,19512.2,19373,268.26B,0.0051
7/5/2023,19398.5,19405.95,19421.6,19339.6,224.42B,0.0005
7/4/2023,19389,19406.6,19434.15,19300,226.92B,0.0034
7/3/2023,19322.55,19246.5,19345.1,19234.4,226.05B,0.007
6/30/2023,19189.05,19076.85,19201.7,19024.6,247.91B,0.0114
6/28/2023,18972.1,18908.15,19011.25,18861.35,398.78B,0.0082
6/27/2023,18817.4,18748.55,18829.25,18714.25,222.46B,0.0068
6/26/2023,18691.2,18682.35,18722.05,18646.7,171.27B,0.0014
6/23/2023,18665.5,18741.85,18756.4,18647.1,210.56B,-0.0056
6/22/2023,18771.25,18853.6,18886.6,18759.5,252.70B,-0.0045
6/21/2023,18856.85,18849.4,18875.9,18794.85,217.48B,0.0021
6/20/2023,18816.7,18752.35,18839.7,18660.65,211.65B,0.0033
6/19/2023,18755.45,18873.3,18881.45,18719.15,219.82B,-0.0037
6/16/2023,18826,18723.3,18864.7,18710.5,272.77B,0.0074
6/15/2023,18688.1,18774.45,18794.1,18669.05,263.00B,-0.0036
6/14/2023,18755.9,18744.6,18769.7,18690,261.35B,0.0021
6/13/2023,18716.15,18631.8,18728.9,18631.8,233.17B,0.0062
6/12/2023,18601.5,18595.05,18633.6,18559.75,179.46B,0.0021
6/9/2023,18563.4,18655.9,18676.65,18555.4,221.76B,-0.0038
6/8/2023,18634.55,18725.35,18777.9,18615.6,286.47B,-0.0049
6/7/2023,18726.4,18665.6,18738.95,18636,260.11B,0.0068
6/6/2023,18599,18600.8,18622.75,18531.6,220.79B,0.0003
6/5/2023,18593.85,18612,18640.15,18582.8,256.11B,0.0032
6/2/2023,18534.1,18550.85,18573.7,18478.4,270.92B,0.0025
6/1/2023,18487.75,18579.4,18580.3,18464.55,265.63B,-0.0025
5/31/2023,18534.4,18594.2,18603.9,18483.85,696.50B,-0.0053
5/30/2023,18633.85,18606.65,18662.45,18575.5,234.39B,0.0019
5/29/2023,18598.65,18619.15,18641.2,18581.25,265.32B,0.0054
5/26/2023,18499.35,18368.35,18508.55,18333.15,198.67B,0.0097
5/25/2023,18321.15,18268.9,18338.1,18202.4,235.92B,0.002
5/24/2023,18285.4,18294.8,18392.6,18262.95,232.62B,-0.0034
5/23/2023,18348,18362.9,18419.75,18324.2,270.35B,0.0018
5/22/2023,18314.4,18201.1,18335.25,18178.85,262.56B,0.0061
5/19/2023,18203.4,18186.15,18218.1,18060.4,260.90B,0.0041
5/18/2023,18129.95,18287.5,18297.2,18104.85,272.10B,-0.0028
5/17/2023,18181.75,18300.45,18309,18115.35,229.90B,-0.0057
5/16/2023,18286.5,18432.35,18432.35,18264.35,219.49B,-0.0061
5/15/2023,18398.85,18339.3,18458.9,18287.9,216.09B,0.0046
5/12/2023,18314.8,18273.75,18342.75,18194.55,241.70B,0.001
5/11/2023,18297,18357.8,18389.7,18270.4,248.93B,-0.001
5/10/2023,18315.1,18313.6,18326.75,18211.95,220.45B,0.0027
5/9/2023,18265.95,18303.4,18344.2,18229.65,245.37B,0.0001
5/8/2023,18264.4,18120.6,18286.95,18100.3,228.40B,0.0108
5/5/2023,18069,18117.3,18216.95,18055.45,239.70B,-0.0102
5/4/2023,18255.8,18081,18267.45,18066.7,226.64B,0.0092
5/3/2023,18089.85,18113.8,18116.35,18042.4,226.17B,-0.0032
5/2/2023,18147.65,18124.8,18180.25,18101.75,265.22B,0.0046
4/28/2023,18065,17950.4,18089.15,17885.3,290.26B,0.0084
4/27/2023,17915.05,17813.1,17931.6,17797.9,241.43B,0.0057
4/26/2023,17813.6,17767.3,17827.75,17711.2,233.01B,0.0025
4/25/2023,17769.25,17761.55,17807.45,17716.85,297.45B,0.0015
4/24/2023,17743.4,17707.55,17754.5,17612.5,255.74B,0.0068
4/21/2023,17624.05,17639.75,17663.2,17553.95,230.16B,0
4/20/2023,17624.45,17638.6,17684.45,17584.35,215.10B,0.0003
4/19/2023,17618.75,17653.35,17666.15,17579.85,281.46B,-0.0023
4/18/2023,17660.15,17766.6,17766.6,17610.2,258.86B,-0.0026
4/17/2023,17706.85,17863,17863,17574.05,357.40B,-0.0068
4/13/2023,17828,17807.3,17842.15,17729.65,285.76B,0.0009
4/12/2023,17812.4,17759.55,17825.75,17717.25,232.82B,0.0051
4/11/2023,17722.3,17704.8,17748.75,17655.15,304.26B,0.0056
4/10/2023,17624.05,17634.9,17694.1,17597.95,254.82B,0.0014
4/6/2023,17599.15,17533.85,17638.7,17502.85,242.71B,0.0024
4/5/2023,17557.05,17422.3,17570.55,17402.7,248.35B,0.0091
4/3/2023,17398.05,17427.95,17428.05,17312.75,230.17B,0.0022
